player,age,team,position,ppg,assists_per_game,rebounds_per_game,min_per_game
James Harden,30,HOU,SG,34.3,7.5,6.6,36.5
Bradley Beal,26,WAS,SG,30.5,6.1,4.2,36
Damian Lillard,29,POR,PG,30,8,4.3,37.5
Trae Young,21,ATL,PG,29.6,9.3,4.3,35.3
Giannis Antetokounmpo,25,MIL,PF,29.5,5.6,13.6,30.4
Luka Dončić,20,DAL,PG,28.8,8.8,9.4,33.6
Kyrie Irving,27,BRK,PG,27.4,6.4,5.2,32.9
Russell Westbrook,31,HOU,PG,27.2,7,7.9,35.9
Kawhi Leonard,28,LAC,SF,27.1,4.9,7.1,32.4
Devin Booker,23,PHO,SG,26.6,6.5,4.2,35.9
Karl-Anthony Towns,24,MIN,C,26.5,4.4,10.8,33.9
Anthony Davis,26,LAL,PF,26.1,3.2,9.3,34.4
Zach LaVine,24,CHI,SF,25.5,4.2,4.8,34.8
LeBron James,35,LAL,PG,25.3,10.2,7.8,34.6
Donovan Mitchell,23,UTA,SG,24,4.3,4.4,34.3
Brandon Ingram,22,NOP,PF,23.8,4.2,6.1,33.9
Jayson Tatum,21,BOS,PF,23.4,3,7,34.3
D'Angelo Russell,23,2TM,PG,23.1,6.3,3.9,32.3
D'Angelo Russell,23,GSW,PG,23.6,6.2,3.7,32.1
D'Angelo Russell,23,MIN,PG,21.7,6.6,4.6,32.7
Joel Embiid,25,PHI,C,23,3,11.6,29.5
Pascal Siakam,25,TOR,PF,22.9,3.5,7.3,35.2
Zion Williamson,19,NOP,PF,22.5,2.1,6.3,27.8
CJ McCollum,28,POR,SG,22.2,4.4,4.2,36.5
DeMar DeRozan,30,SAS,SF,22.1,5.6,5.5,34.1
Andrew Wiggins,24,2TM,SF,21.8,3.7,5.1,34.4
Andrew Wiggins,24,MIN,SF,22.4,3.7,5.2,34.6
Andrew Wiggins,24,GSW,SF,19.4,3.6,4.6,33.6
John Collins,22,ATL,PF,21.6,1.5,10.1,33.2
Paul George,29,LAC,SF,21.5,3.9,5.7,29.6
De'Aaron Fox,22,SAC,PG,21.1,6.8,3.8,32
Khris Middleton,28,MIL,SF,20.9,4.3,6.2,29.9
Stephen Curry,31,GSW,PG,20.8,6.6,5.2,27.8
Collin Sexton,21,CLE,PG,20.8,3,3.1,33
Spencer Dinwiddie,26,BRK,PG,20.6,6.8,3.5,31.2
Kristaps Porziņģis,24,DAL,C,20.4,1.8,9.5,31.8
Kemba Walker,29,BOS,PG,20.4,4.8,3.9,31.1
Jaylen Brown,23,BOS,SG,20.3,2.1,6.4,33.9
Bojan Bogdanović,30,UTA,SF,20.2,2.1,4.1,33.1
Jimmy Butler,30,MIA,SF,19.9,6,6.7,33.8
Nikola Jokić,24,DEN,C,19.9,7,9.7,32
T.J. Warren,26,IND,SF,19.8,1.5,4.2,32.9
Tobias Harris,27,PHI,PF,19.6,3.2,6.9,34.3
Nikola Vučević,29,ORL,C,19.6,3.6,10.9,32.2
Julius Randle,25,NYK,PF,19.5,3.1,9.7,32.5
Kyle Lowry,33,TOR,PG,19.4,7.5,5,36.2
Buddy Hield,27,SAC,SG,19.2,3,4.6,30.8
Jrue Holiday,29,NOP,SG,19.1,6.7,4.8,34.7
Shai Gilgeous-Alexander,21,OKC,SG,19,3.3,5.9,34.7
LaMarcus Aldridge,34,SAS,C,18.9,2.4,7.4,33.1
Dennis Schröder,26,OKC,PG,18.9,4,3.6,30.8
Danilo Gallinari,31,OKC,PF,18.7,1.9,5.2,29.6
Caris LeVert,25,BRK,SG,18.7,4.4,4.2,29.6
Kelly Oubre Jr.,24,PHO,SF,18.7,1.5,6.4,34.5
Montrezl Harrell,26,LAC,C,18.6,1.7,7.1,27.8
Evan Fournier,27,ORL,SF,18.5,3.2,2.6,31.5
Jamal Murray,22,DEN,PG,18.5,4.8,4,32.3
Domantas Sabonis,23,IND,PF,18.5,5,12.4,34.8
Deandre Ayton,21,PHO,C,18.2,1.9,11.5,32.5
Devonte' Graham,24,CHO,PG,18.2,7.5,3.4,35.1
Lou Williams,33,LAC,PG,18.2,5.6,3.1,28.7
Derrick Rose,31,DET,PG,18.1,5.6,2.4,26
Terry Rozier,25,CHO,PG,18,4.1,4.4,34.3
Ja Morant,20,MEM,PG,17.8,7.3,3.9,31
Andre Drummond,26,2TM,C,17.7,2.7,15.2,33
Andre Drummond,26,DET,C,17.8,2.8,15.8,33.8
Andre Drummond,26,CLE,C,17.5,1.8,11.1,28.1
Kevin Love,31,CLE,PF,17.6,3.2,9.8,31.8
Jusuf Nurkić,25,POR,C,17.6,4,10.3,31.6
Chris Paul,34,OKC,PG,17.6,6.7,5,31.5
Fred VanVleet,25,TOR,SG,17.6,6.6,3.8,35.7
Gordon Hayward,29,BOS,SF,17.5,4.1,6.7,33.5
Jaren Jackson Jr.,20,MEM,C,17.4,1.4,4.6,28.5
Marcus Morris,30,2TM,PF,16.7,1.4,5,31.2
Marcus Morris,30,NYK,SF,19.6,1.4,5.4,32.3
Marcus Morris,30,LAC,PF,10.1,1.4,4.1,28.9
Malcolm Brogdon,27,IND,PG,16.5,7.1,4.9,30.9
Ben Simmons,23,PHI,PG,16.4,8,7.8,35.4
Dillon Brooks,24,MEM,SG,16.2,2.1,3.3,28.9
Goran Dragić,33,MIA,PG,16.2,5.1,3.2,28.2
Norman Powell,26,TOR,SG,16,1.8,3.7,28.4
Bam Adebayo,22,MIA,PF,15.9,5.1,10.2,33.6
Tim Hardaway Jr.,27,DAL,SG,15.8,1.9,3.3,29.5
Luke Kennard,23,DET,SG,15.8,4.1,3.5,32.9
Blake Griffin,30,DET,PF,15.5,3.3,4.7,28.4
Hassan Whiteside,30,POR,C,15.5,1.2,13.5,30
Carmelo Anthony,35,POR,PF,15.4,1.5,6.3,32.8
Dāvis Bertāns,27,WAS,PF,15.4,1.7,4.5,29.3
Serge Ibaka,30,TOR,C,15.4,1.4,8.2,27
Kendrick Nunn,24,MIA,PG,15.3,3.3,2.7,29.3
JJ Redick,35,NOP,SG,15.3,2,2.5,26.4
Jordan Clarkson,27,2TM,SG,15.2,1.9,2.6,24
Jordan Clarkson,27,CLE,SG,14.6,2.4,2.4,23
Jordan Clarkson,27,UTA,SG,15.6,1.6,2.8,24.7
Will Barton,29,DEN,SF,15.1,3.7,6.3,33
Bogdan Bogdanović,27,SAC,SG,15.1,3.4,3.4,29
Rudy Gobert,27,UTA,C,15.1,1.5,13.5,34.3
Alec Burks,28,2TM,SF,15,2.9,4.3,26.6
Alec Burks,28,GSW,SF,16.1,3.1,4.7,29
Alec Burks,28,PHI,SG,12.2,2.1,3.1,20.2
Eric Bledsoe,30,MIL,PG,14.9,5.4,4.6,27
Jonas Valančiūnas,27,MEM,C,14.9,1.9,11.3,26.4
Lauri Markkanen,22,CHI,PF,14.7,1.5,6.3,29.8
Terrence Ross,28,ORL,SG,14.7,1.2,3.2,27.4
Harrison Barnes,27,SAC,PF,14.5,2.2,4.9,34.5
Joe Harris,28,BRK,SF,14.5,2.1,4.3,30.8
Victor Oladipo,27,IND,SG,14.5,2.9,3.9,27.8
Mike Conley,32,UTA,PG,14.4,4.4,3.2,29
Aaron Gordon,24,ORL,PF,14.4,3.7,7.7,32.5
Eric Gordon,31,HOU,SF,14.4,1.5,2,28.2
RJ Barrett,19,NYK,SG,14.3,2.6,5,30.4
Marvin Bagley III,20,SAC,C,14.2,0.8,7.5,25.7
Jabari Parker,24,2TM,PF,14,1.8,5.6,24.1
Jabari Parker,24,ATL,PF,15,1.8,6,26.2
Jabari Parker,24,SAC,PF,8.5,1.7,3.8,13.3
Eric Paschall,23,GSW,PF,14,2.1,4.6,27.6
Clint Capela,25,HOU,C,13.9,1.2,13.8,32.8
Josh Richardson,26,PHI,SG,13.7,2.9,3.2,30.8
Rui Hachimura,21,WAS,PF,13.5,1.8,6.1,30.1
Tyler Herro,20,MIA,SG,13.5,2.2,4.1,27.4
Duncan Robinson,25,MIA,SG,13.5,1.4,3.2,29.7
Thomas Bryant,22,WAS,C,13.2,1.8,7.2,24.9
Coby White,19,CHI,PG,13.2,2.7,3.5,25.8
Christian Wood,24,DET,PF,13.1,1,6.3,21.4
Miles Bridges,21,CHO,SF,13,1.8,5.6,30.7
Ricky Rubio,29,PHO,PG,13,8.8,4.7,31
Marcus Smart,25,BOS,SG,12.9,4.9,3.8,32
Kyle Kuzma,24,LAL,PF,12.8,1.3,4.5,25
Damion Lee,27,GSW,SG,12.7,2.7,4.9,29
Jeremy Lamb,27,IND,SG,12.5,2.1,4.3,28.1
Robert Covington,29,2TM,C,12.4,1.3,6.6,30.5
Robert Covington,29,MIN,PF,12.8,1.2,6,29.4
Robert Covington,29,HOU,C,11.6,1.5,8,33
Seth Curry,29,DAL,SG,12.4,1.9,2.3,24.6
Darius Garland,20,CLE,SG,12.3,3.9,1.9,30.9
Richaun Holmes,26,SAC,C,12.3,1,8.1,28.2
De'Andre Hunter,22,ATL,SF,12.3,1.8,4.5,32
Kevin Huerter,21,ATL,SG,12.2,3.8,4.1,31.4
Isaiah Thomas,30,WAS,PG,12.2,3.7,1.7,23.1
P.J. Washington,21,CHO,PF,12.2,2.1,5.4,30.3
Brandon Clarke,23,MEM,PF,12.1,1.4,5.9,22.4
Markelle Fultz,21,ORL,PG,12.1,5.1,3.3,27.7
Taurean Prince,25,BRK,PF,12.1,1.8,6,29
Myles Turner,23,IND,C,12.1,1.2,6.6,29.5
Jerami Grant,25,DEN,PF,12,1.2,3.5,26.6
Brook Lopez,31,MIL,C,12,1.5,4.6,26.7
Tristan Thompson,28,CLE,C,12,2.1,10.1,30.2
Reggie Jackson,29,2TM,PG,11.9,4.1,3,24
Reggie Jackson,29,DET,PG,14.9,5.1,2.9,27.2
Reggie Jackson,29,LAC,PG,9.5,3.2,3,21.3
Al Horford,33,PHI,C,11.9,4,6.8,30.2
Jonathan Isaac,22,ORL,PF,11.9,1.4,6.8,28.8
Otto Porter Jr.,26,CHI,SF,11.9,1.8,3.4,23.6
Lonzo Ball,22,NOP,PG,11.8,7,6.1,32.1
Glenn Robinson III,26,2TM,SF,11.7,1.5,4.4,28.8
Glenn Robinson III,26,GSW,SF,12.9,1.8,4.7,31.6
Glenn Robinson III,26,PHI,SF,7.7,0.8,3.1,19.3
Patty Mills,31,SAS,PG,11.6,1.8,1.6,22.5
Paul Millsap,34,DEN,PF,11.6,1.6,5.7,24.3
Jordan McRae,28,3TM,SG,11.5,2.5,3.4,21.2
Jordan McRae,28,WAS,SG,12.8,2.8,3.6,22.6
Jordan McRae,28,DEN,SG,2.3,1,1.3,8
Jordan McRae,28,DET,SG,11.8,1.8,3.8,24.5
Aron Baynes,33,PHO,C,11.5,1.6,5.6,22.2
Nemanja Bjelica,31,SAC,PF,11.5,2.8,6.4,27.9
Wendell Carter Jr.,20,CHI,C,11.3,1.2,9.4,29.2
Derrick White,25,SAS,SG,11.3,3.5,3.3,24.7
Justise Winslow,23,MIA,SG,11.3,4,6.6,32
Malik Beasley,23,2TM,SG,11.2,1.4,2.7,22
Malik Beasley,23,DEN,SG,7.9,1.2,1.9,18.2
Malik Beasley,23,MIN,SG,20.7,1.9,5.1,33.1
Bryn Forbes,26,SAS,SG,11.2,1.7,2,25.1
Dion Waiters,28,2TM,SG,11.1,2,2.4,20.7
Dion Waiters,28,MIA,SG,9.3,1,3.7,14
Dion Waiters,28,LAL,SG,11.9,2.4,1.9,23.6
Jarrett Allen,21,BRK,C,11.1,1.6,9.6,26.5
Cody Zeller,27,CHO,C,11.1,1.5,7.1,23.1
Rodney Hood,27,POR,SF,11,1.5,3.4,29.5
Mychal Mulder,25,GSW,SF,11,1.1,3.3,29.1
Cedi Osman,24,CLE,SF,11,2.4,3.6,29.4
Jeff Teague,31,2TM,PG,10.9,5.2,2.4,24.8
Jeff Teague,31,MIN,PG,13.2,6.1,2.6,27.8
Jeff Teague,31,ATL,PG,7.7,4,2.2,20.8
Steven Adams,26,OKC,C,10.9,2.3,9.3,26.7
Dejounte Murray,23,SAS,PG,10.9,4.1,5.8,25.6
Cameron Payne,25,PHO,SG,10.9,3,3.9,22.9
Ish Smith,31,WAS,PG,10.9,4.9,3.2,26.3
Rudy Gay,33,SAS,PF,10.8,1.7,5.4,21.8
Dario Šarić,25,PHO,PF,10.7,1.9,6.2,24.7
OG Anunoby,22,TOR,SF,10.6,1.6,5.3,29.9
Jae Crowder,29,2TM,SF,10.5,2.5,5.9,28.8
Jae Crowder,29,MEM,SF,9.9,2.8,6.2,29.4
Jae Crowder,29,MIA,PF,11.9,1.8,5.4,27.7
D.J. Augustin,32,ORL,PG,10.5,4.6,2.1,24.9
Danuel House Jr.,26,HOU,SF,10.5,1.3,4.2,30.4
Cam Reddish,20,ATL,SF,10.5,1.5,3.7,26.7
Troy Brown Jr.,20,WAS,SF,10.4,2.6,5.6,25.8
Gary Harris,25,DEN,SG,10.4,2.1,2.9,31.8
Shabazz Napier,28,2TM,PG,10.3,4.7,2.8,24
Shabazz Napier,28,MIN,PG,9.6,5.2,3.1,23.8
Shabazz Napier,28,WAS,PG,11.6,3.8,2.4,24.4
Langston Galloway,28,DET,SG,10.3,1.5,2.3,25.8
Doug McDermott,28,IND,PF,10.3,1.1,2.5,19.9
Malik Monk,21,CHO,SG,10.3,2.1,2.9,21.3
Garrett Temple,33,BRK,SG,10.3,2.5,3.5,27.9
Thaddeus Young,31,CHI,PF,10.3,1.8,4.9,24.9
Josh Hart,24,NOP,SF,10.1,1.7,6.5,27
Ben McLemore,26,HOU,SF,10.1,0.8,2.2,22.8
Larry Nance Jr.,27,CLE,PF,10.1,2.2,7.3,26.3
Bobby Portis,24,NYK,PF,10.1,1.5,5.1,21.1
Elfrid Payton,25,NYK,PG,10,7.2,4.7,27.7
Kevin Porter Jr.,19,CLE,SF,10,2.2,3.2,23.2
Tomáš Satoranský,28,CHI,SG,9.9,5.4,3.9,28.9
Joe Ingles,32,UTA,PF,9.8,5.2,3.9,29.7
Furkan Korkmaz,22,PHI,SG,9.8,1.1,2.3,21.7
Markieff Morris,30,2TM,PF,9.7,1.3,3.8,20.5
Markieff Morris,30,DET,PF,11,1.6,3.9,22.5
Markieff Morris,30,LAL,PF,5.3,0.6,3.2,14.2
Frank Kaminsky,26,PHO,C,9.7,1.9,4.5,19.9
Mitchell Robinson,21,NYK,C,9.7,0.6,7,23.1
Dorian Finney-Smith,26,DAL,PF,9.5,1.6,5.7,29.9
Aaron Holiday,23,IND,PG,9.5,3.4,2.4,24.5
Jeff Green,33,2TM,C,9.4,1,2.8,20
Jeff Green,33,UTA,PF,7.8,0.7,2.7,18.4
Jeff Green,33,HOU,C,12.2,1.7,2.9,22.6
George Hill,33,MIL,PG,9.4,3.1,3,21.5
Shake Milton,23,PHI,SG,9.4,2.6,2.2,20.1
Dwight Powell,28,DAL,C,9.4,1.5,5.7,26.5
Kentavious Caldwell-Pope,26,LAL,SG,9.3,1.6,2.1,25.5
Marquese Chriss,22,GSW,PF,9.3,1.9,6.2,20.3
Michael Porter Jr.,21,DEN,SF,9.3,0.8,4.7,16.4
Landry Shamet,22,LAC,SG,9.3,1.9,1.9,27.4
Jarrett Culver,20,MIN,SG,9.2,1.7,3.4,23.9
Donte DiVincenzo,23,MIL,SG,9.2,2.3,4.8,23
Daniel Theis,27,BOS,C,9.2,1.7,6.6,24.1
Mikal Bridges,23,PHO,SF,9.1,1.8,4,28
Keldon Johnson,20,SAS,SF,9.1,0.9,3.4,17.7
Maxi Kleber,28,DAL,PF,9.1,1.2,5.2,25.5
Jake Layman,25,MIN,SF,9.1,0.7,2.5,22
Derrick Favors,28,NOP,C,9,1.6,9.8,24.4
Josh Jackson,22,MEM,SF,9,1.6,3,17.3
Monte Morris,24,DEN,PG,9,3.5,1.9,22.4
Svi Mykhailiuk,22,DET,SF,9,1.9,1.9,22.6
Naz Reid,20,MIN,C,9,1.2,4.1,16.5
Bruce Brown,23,DET,PG,8.9,4,4.7,28.2
Gary Trent Jr.,21,POR,SF,8.9,1,1.6,21.8
Kent Bazemore,30,2TM,SF,8.8,1.4,4.3,24.8
Kent Bazemore,30,POR,SF,7.9,1.4,4,25.8
Kent Bazemore,30,SAC,SF,10.3,1.3,4.9,23.1
Cameron Johnson,23,PHO,PF,8.8,1.2,3.3,22
Jordan Poole,20,GSW,SG,8.8,2.4,2.1,22.4
Austin Rivers,27,HOU,SG,8.8,1.7,2.6,23.4
Grayson Allen,24,MEM,SG,8.7,1.4,2.2,18.9
Moritz Wagner,22,WAS,C,8.7,1.2,4.9,18.6
Avery Bradley,29,LAL,SG,8.6,1.3,2.3,24.2
Josh Okogie,21,MIN,SG,8.6,1.6,4.3,25
Derrick Jones Jr.,22,MIA,SF,8.5,1.1,3.9,23.3
James Johnson,32,2TM,PF,8.4,2.3,3.7,19.3
James Johnson,32,MIA,PF,5.7,1.2,2.9,15.6
James Johnson,32,MIN,C,12,3.8,4.7,24.1
Justin Holiday,30,IND,SF,8.3,1.3,3.3,25
DeAndre Jordan,31,BRK,C,8.3,1.9,10,22
E'Twaun Moore,30,NOP,SG,8.3,1.4,2.3,18.2
Jeremy Pargo,33,GSW,PG,8.3,2.7,1,14.7
Anfernee Simons,20,POR,SG,8.3,1.4,2.2,20.7
Ivica Zubac,22,LAC,C,8.3,1.1,7.5,18.4
Jalen Brunson,23,DAL,PG,8.2,3.3,2.4,17.9
Kelly Olynyk,28,MIA,C,8.2,1.7,4.6,19.4
Reggie Bullock,28,NYK,SG,8.1,1.4,2.3,23.6
Enes Freedom,27,BOS,C,8.1,1,7.4,16.9
Jahlil Okafor,24,NOP,C,8.1,1.2,4.2,15.6
Trevor Ariza,34,2TM,SF,8,1.7,4.6,28.2
Trevor Ariza,34,SAC,SF,6,1.6,4.6,24.7
Trevor Ariza,34,POR,SF,11,2,4.8,33.4
Alex Len,26,2TM,C,8,0.9,5.8,17.6
Alex Len,26,ATL,C,8.7,1.1,5.8,18.6
Alex Len,26,SAC,C,5.9,0.5,6.1,15
Danny Green,32,LAL,SG,8,1.3,3.3,24.8
Draymond Green,29,GSW,PF,8,6.2,6.2,28.4
Tony Snell,28,DET,SF,8,2.2,1.9,27.8
Sindarius Thornwell,25,NOP,SF,8,2,2,17.5
Patrick Beverley,31,LAC,PG,7.9,3.6,5.2,26.3
Chandler Hutchison,23,CHI,SF,7.8,0.9,3.9,18.8
Timothé Luwawu-Cabarrot,24,BRK,SF,7.8,0.6,2.7,18.1
J.J. Barea,35,DAL,PG,7.7,3.9,1.8,15.5
Jordan McLaughlin,23,MIN,PG,7.6,4.2,1.6,19.7
De'Anthony Melton,21,MEM,PG,7.6,2.9,3.7,19.5
Omari Spellman,22,GSW,C,7.6,1,4.5,18.1
Terence Davis,22,TOR,SG,7.5,1.6,3.3,16.8
Marc Gasol,35,TOR,C,7.5,3.3,6.3,26.4
Dwight Howard,34,LAL,C,7.5,0.7,7.3,18.9
Trey Burke,27,2TM,PG,7.4,2.5,1.5,15.8
Trey Burke,27,PHI,PG,5.9,2.1,1.4,13.2
Trey Burke,27,DAL,PG,12,3.8,1.9,23.9
Bismack Biyombo,27,CHO,C,7.4,0.9,5.8,19.4
Ky Bowman,22,GSW,PG,7.4,2.9,2.7,22.6
Gorgui Dieng,30,2TM,C,7.4,1.2,5.6,17.4
Gorgui Dieng,30,MIN,C,7.4,1.3,5.6,16.9
Gorgui Dieng,30,MEM,C,7.2,0.9,5.8,18.7
Jaxson Hayes,19,NOP,C,7.4,0.9,4,16.9
Tyus Jones,23,MEM,PG,7.4,4.4,1.6,19
Ian Mahinmi,33,WAS,C,7.4,1.3,5.7,21.3
Wesley Matthews,33,MIL,SG,7.4,1.4,2.5,24.4
Nerlens Noel,25,OKC,C,7.4,0.9,4.9,18.5
Brandon Knight,28,2TM,SG,7.3,2.8,1.6,18.5
Brandon Knight,28,CLE,SG,4.9,1.9,1.3,15.1
Brandon Knight,28,DET,PG,11.6,4.2,2.3,24.6
Kris Dunn,25,CHI,PG,7.3,3.4,3.6,24.9
Emmanuel Mudiay,23,UTA,PG,7.3,2.1,2.3,15.7
Willie Cauley-Stein,26,2TM,C,7.2,1.3,5.8,20.3
Willie Cauley-Stein,26,GSW,C,7.9,1.5,6.2,22.9
Willie Cauley-Stein,26,DAL,C,5.2,0.8,4.6,12.1
Michael Carter-Williams,28,ORL,SG,7.2,2.4,3.3,18.5
Mason Plumlee,29,DEN,C,7.2,2.5,5.2,17.3
Jeremiah Martin,23,BRK,PG,7.1,2,1.1,11
Rajon Rondo,33,LAL,PG,7.1,5,3,20.5
Tyler Johnson,27,2TM,SG,7,1.9,1.9,18.2
Tyler Johnson,27,PHO,PG,5.7,1.6,1.7,16.6
Tyler Johnson,27,BRK,SG,12,3,3,24.3
